w90,0,49,1.9e+02,0.94,452879,58077637,55156250,54047364,60332,9473,5.1795962892476854
w91,0,242,70,0.76,132682,293346192,124187500,236500000,18077,15755,6.569817242719908
w92,0,37,1.3e+02,0.96,234645,91099122,91083497,26334961,38341,7678,7.057609014803241
w93,0,37,1.3e+02,0.91,236472,120087403,102386719,84826661,42445,29059,6.684024503391203
w94,0,19,4e+02,0.95,754237,200218750,200414063,51148438,108708,61985,6.606376017175926
w95,0,20,58,0.52,102820,109560547,65594727,77224610,25800,11137,7.023363214733796
w96,0,23,63,0.05,110401,158554688,89539063,158617188,14980,17946,7.055818016597223
w97,63,47,77,0.02,145858,9062500,7117188,9050782,4890,23620,6.570193876643518
w98,63,47,76,0.02,143888,16378907,9613282,16355469,4922,24038,6.583101308275463
w99,0,19,1.1e+02,0.94,186636,76625000,76625000,33392579,44657,5574,7.057876724050926
w100,63,47,76,0.019,143056,10710938,7054688,10343750,4943,23983,6.5884365400347225
w101,63,47,75,0.019,142485,10148438,7343750,9910157,4910,24042,6.520496606898148
w102,207200,65,48,0.064,88440,49569336,48459473,33831055,19109,14218,6.7313477104050925
w103,0,17,33,0.36,59453,45154297,45117676,43261719,22214,8016,6.994288959791667
w104,0,239,88,0.84,155324,200136719,178445313,200617188,44497,9219,7.057215499618056
w105,0,39,92,0.9,167169,68171875,57657227,68093750,35784,11380,6.831563521111111
w106,0,18,30,0.28,61287,46161133,17921875,46128418,15737,8470,6.031296866932871
w10,4176,979,4.8e+03,0.9,9696699,424152344,420906250,423863282,157430,27374,6.136394483206018
w11,0,14,1.7e+03,0.66,3161675,150617188,71371094,148863282,27237,414558,6.765627222083333
w12,0,175,1.7e+02,0.31,323236,49445313,49347657,24380860,3677,4139,6.467389511122685
w13,191,167,1.2e+03,0.59,2672866,167183594,138113282,167113282,30568,34116,5.506386507719907
w14,0,589,2.9e+03,0.75,5116116,89255372,76781250,63942383,208018,32807,7.057257167141204
w15,0,633,2.4e+02,0.83,521370,27652344,11316407,25925782,6612,30483,5.716983793055555
w16,45784,109,3.3e+02,0.88,705756,157948243,157914063,124312989,13800,10017,5.776728437372685
w17,0,39,5.4e+02,0.13,1032482,64102051,62762208,56085938,11233,20330,6.479536183807871
w18,2048,99,3.4e+02,0.8,730229,126629883,88394532,126144532,16859,14433,5.8098017874421295
w19,0,28,1.7e+03,0.98,3088674,398093750,398289063,100625000,62857,19182,6.963480876504629
w20,0,842,2.7e+03,0.88,4729819,77176758,69437500,65093750,128561,35080,7.057282294675926
w21,0,233,2.6e+03,0.98,4626605,169500000,169500000,61765625,102077,22377,6.927778145104167
w22,2048,139,2e+02,0.86,420571,76014161,51144532,60202149,9453,10463,5.864518971319445
w23,0,98,6.3e+02,0.6,1348689,376273438,264375000,376206543,40404,15249,5.825392403136574
w24,0,109,3.8e+02,0.79,775755,89443848,89383301,39677247,13465,27323,6.113295673113426
w25,0,290,1.3e+03,0.89,2896884,410722657,267125000,235859864,55139,36153,5.533290148101852
w26,587,292,5.6e+02,0.5,991632,195015625,91089844,192484375,27279,19561,7.056929175787037
w27,349288,1844,1.9e+02,0.79,422173,62421875,31500000,42224610,9795,13551,5.564127775034722
w28,0,80,4.8e+02,0.41,845932,170457032,157878907,128003907,16018,46331,7.028172496585648
w29,36616,1805,2e+02,0.81,420904,38148438,37937500,38148438,10367,14901,5.778712588518519
w30,0,326,2.8e+02,0.022,506646,215375000,106906250,215375000,13453,13866,6.770960990381944
w31,0,899,5.3e+03,0.94,9413461,320914063,320890625,192261719,303361,99417,7.0268000107986115
w32,0,59,2.1e+02,0.88,379923,45253907,42964844,44967286,10727,14687,7.023939133148148
w33,128,79,1.5e+02,0.028,263562,8160157,7464844,5664063,33563,7886,7.0286229313657405
w34,0,192,8.5e+02,0.84,1540569,408033692,378679688,406932129,51557,32002,6.8879973548611115
w35,210360,52,2.3e+02,0.046,412972,83636719,80375000,74057129,17686,16206,7.028516629884259
w36,128,79,1.5e+02,0.028,257883,15320313,14906250,9136719,38183,8101,7.029300969155092
w37,0,126,1.1e+02,0.77,292045,61480469,61324708,7878907,6242,7244,4.816455551215277
w38,0,29,1.8e+02,0.5,321755,56136231,38027344,55565918,7761,16817,7.057813254872685
w39,0,160,1.5e+02,0.025,258155,56335938,56226563,24652344,8550,8754,7.028370862847222
w40,0,160,1.4e+02,0.012,248139,111855469,108339844,12519532,11829,8507,7.029180711400463
w41,128,79,1.4e+02,0.069,242203,35750000,32937500,4894532,27764,8227,7.028348391585648
w42,0,49,2.4e+02,0.64,420262,100541504,88519532,57334473,11418,35968,7.057413545034723
w43,63,77,4.8e+02,0.5,921606,91988282,92019532,18125000,33711,32421,6.481863248981481
w44,0,39,1.1e+02,0.88,205203,115724610,76597657,80558594,8971,19168,6.559926050381945
w45,128,71,1.5e+02,0.0034,273805,7074219,3835938,7078125,6748,11061,7.0283333019444445
w46,0,721,2e+03,0.26,727613,290781250,231062500,290781250,124023,217067,33.41301310170139
w47,128,78,1.4e+02,0.0021,251366,9300782,8980469,7191407,6263,10680,7.028935298425926
w48,2400,430,1.2e+03,0.97,2384892,216442383,216437500,68011719,157445,6108,6.452362797835648
w49,0,60,3.8e+02,0.75,665116,247263184,196335938,247255372,39154,29604,7.028514560034722
w50,2328,229,2.9e+02,0.97,602775,98054688,96812500,98031250,25591,5833,5.933316781122685
w51,0,99,2.3e+02,0.85,398996,55261719,55179688,40404297,28437,15784,7.028288187696759
w52,0,10,80,0.51,149739,56093262,48062500,52200684,8674,6565,6.641463370891204
w53,0,1491,7e+02,0.88,9060850,153894532,108203125,144906739,138135,21254,0.961404538912037
w54,2048,33787,2.7e+03,0.78,4768970,313199219,313203125,234992188,310571,408367,6.9954100198611116
w55,0,88,54,0.66,116320,130363282,89398926,83872071,4935,18724,5.79909051650463
w56,47655,241,1.1e+02,0.13,210150,91632813,31253907,86175782,31140,9970,6.58757304494213
w57,20303,241,1.1e+02,0.1,225137,60050782,31351563,53121094,28078,10932,6.328510249409722
w58,0,64,2.7e+02,0.54,486445,168000000,76074219,97064942,32248,24170,6.997303135856481
w59,0,9,1.2e+02,0.5,216028,102292969,37320313,101285157,8352,27194,6.983647293159723
w60,0,32,1.3e+02,0.74,236395,96054688,70128907,43520508,12237,30921,7.057671746006944
w61,0,23,2.5e+02,0.69,451470,286476563,286476563,184859375,37677,16604,6.835310419398148
w62,44655,99,78,0.86,166875,25067383,13812500,24843750,8340,13053,5.796760554456019
w63,0,69,1.8e+02,0.91,309056,158203125,157929688,64216797,38859,3473,7.057584423645833
w64,864,629,4.4e+02,0.92,5860030,259816407,259800782,100632813,66698,38803,0.9260301411689815
w65,239,249,3.4e+02,0.97,713700,135879395,135867188,87985352,45028,7515,5.910170933055555
w66,0,7,1.7e+02,0.71,292580,108485352,108510743,16947754,30850,10215,7.022077259641204
w67,0,47,74,0.39,130026,50834961,48108887,46531250,14085,7060,7.026846106354166
w68,2048,123,1.4e+02,0.1,271859,265648438,95039063,265554688,19762,17151,6.569051953831019
w69,0,37,1.6e+02,0.76,283324,98397950,52234375,72128907,23538,17831,7.023034614444445
